full_text,topic,type
GRAB SIAL GILIRAN CEPET CEPET BGT GILIRAN LAMA ASTAGHFIRULLAH AH,grab,komplain
@ilhampid tenang kita masih punyak banyak ormas ada grab banser PP dll. dan tentara-tentara an kita bisa kerahkan ke Medan perang ,grab,pernyataan
@jemijaem Oooo Grab ya. Bener dia ambil itu. Aku kalo denger tetanggaku yang ambil dua job buat perusahaan yang satu itu boncos banget kalo buat yang 'ride'. Emang ya kalo udah soal anak ibu tuh energinya bakal edan-edanan. Nggak ada yang bisa ngalahin dah. bener² strong woman,grab,pujian
gini rasanya seharian makan cuman order grabfood doang untung dibayarin,grabfood,pernyataan
Dapet sopir grab buta map emang ngeselin banget yak,grab,komplain
Halo @grabid mau tanya layanan GrabCar beroperasi 24 jam kan ya?,grabcar,pertanyaan
Tim gojek ini sudah mulai serius,gojek,pujian
Gak salah. Aku sama ibuku beberapa kali naik KRL dengan app Gojek karena males beli kartu (kami dom luar Jawa). Tapi imagine ibuku yang disuruh purchase tiket KRL sendiri lewat Gojek. Yakin berakhir naik taksi biru yang mangkal,gojek,pujian
@Ricbongg no gopay sy masih sama bang ,gopay,pernyataan
@Mintchonoolatte Next time aku yg bayar grab nya ya ,grab,pernyataan
tdi gw ke atrium senen sama adek gw. pas brngkt kita naik grab car gw pilih grab car standar yg harga aslinya 22rb trs kepotong voc jdi 12rb. fyi kalo grab car hemat kepotong voc jdi 9rb nah gw milih yg tengah² aja yaitu grab car standar. sebenernya ada lagi diatas standar ,grabcar,pernyataan
@gopayindonesia min bisa gk kirim saldo dari gopay yang belum plus?,gopay,pertanyaan
Gak sabar liat konsepnya nanti gimana karena pas sama halloween kan. Mereka bakal cosplay kan pasti. Konsepnya bakal kayak event Grab kemaren kah? Aku harap lebih gong lagi.,grab,pertanyaan
@imsharies persis kawanku wkwk habis di ewe dipesankannya grabcar jarnya terpaksa dipesankan mobil soalnya hujan wkwkwkwk inya kd kw meantar soalnya ngewskuynya dirumah klo diantar biniannya kdd yg menjaga rumah jar,grabcar,pernyataan
Biaya parkir di mall harusnya udah include di tarif grabcar dong masa penumpang yg disuruh bayar lagi.,grabcar,saran-kritik
aplikasi grab boros bgt batrenya. tolong dong di optimalisasi lagi min.,grab,saran-kritik
WOI @gojekindonesia ini kok gofood nya udah lama tapi belum dateng-dateng ya? apa udah gowithsomeonelse ya ,gofood,pertanyaan
@txtdrjkt gocar grabcar aja jarang yg mau ngambil kesini kemaren,gocar,komplain
Kenapa ya kalo mesen makan di gojek tuh cepet kalo di grab kek lamaaaa bgt,grabfood,komplain
Lama banget ucet ini grabfood gue. Ayamnya belom ditangkep ape?!!,grabfood,komplain
enak sih pake OVO bisa buat bayar parkir di mall gaperlu ribet cari cash.,ovo,pujian
Abis gajian? Saatnya dapet untung juga! Beli paket pakai GoPay dapet cashback sampai 50rb Cuma sampe 2 Juli ya! https://t.co/xw4zr894XF #WeAreMore https://t.co/cm95fSw2cu,gopay,pernyataan
Ges seneng bgt orderan pertama di grab food setelah hampir sebulan kayaknya dari grabfood gue aktif akhirnya pecah telor ,grabfood,pernyataan
cancel fee aneh driver yg jauh gw yg kena,grab,saran-kritik
@MotokoNews @MotokoGhosts @pokedstudiouk Legendary grab https://t.co/E9ZPhyBbGy,grab,pernyataan
pesen gofood udah satu jam ga sampe sampe pdhl ga pake pengiriman hemat drivernya ga ada respon map ga gerak cs gojek ga ada solusi akh aku udah laper :(,gofood,komplain
@SelebtwitMobil Paling gocar/grab car kasian emang user sigra jadi kena getah,grabcar,saran-kritik
bntar ya kk roni aku pesen grab dulu kalo mau lanjut ngobrol boleh dm atau wa sampe rumah pasti bakal di bales ya?,grab,pernyataan
@detikcom S1 jadi gojek aja banyak banget,gojek,pernyataan
Pengiriman dari duren sawit jakarta timur Yg mau gojek juga bisaaa,gojek,pernyataan
nangisnya di gojek otw rumah‍️,gojek,pernyataan
@abjdfgh @jevavna domisili mana ka? bisa gosend jaksel ga,gosend,pertanyaan
@shoujzo gofood sekarang rai mumpung masih sempet,gofood,pernyataan
@MORAOYULOK Punya cewek cuman kedok aslinya dia ga cinta sama km. Dia sukanya sama mas2 gojek yg sering nganterin pesenan makanan punya dia,gojek,pernyataan
@sywhoops kak mending ke rawa belong langsung aja banyak pilihannya. menurutku gampang dijangkau pakai transum juga kok naik krl turun di st palmerah setelah itu bisa sambung grab ga jauh bgt ,grab,pujian
guys seriously askingsoalnya aku bener2 bingung buat pembayaran ini klo payment gopay yg lngsung nyambung ke hp kita apakah diperlukan KTP? (buat si gopaynya ya guys mksud aku bkn pas lgi isi data diri buat ticketing) kan biasanya klo TF e wallet itu butuh KTP ya-,gopay,pertanyaan
plis dong history chat sm driver jangan langsung ilang. repot kalo ada apa2 atau barang ketinggalan.,grab,saran-kritik
Game Boy G5 Potongan Koin 30% Diskon 5Ribu (Gjs) Gopay Payment Diskon 50% 5k https://t.co/yHsBsJWvL2 Halaman Koin https://t.co/nwc3AIShVb https://t.co/wliuaxdj92,gopay,pernyataan
ada yg jual nokos gojek gaa?,gojek,pertanyaan
"Gojek tolong dong, itu ETA drivernya sering ga akurat. katanya 3 menit, taunya masih 10 menit lagi. bikin telat kan",gojek,komplain
GoCar Protect itu bedanya apa ya dengan GoCar biasa? Apakah lebih aman?,gocar,pertanyaan
@sbyfess Tergantungg mau sprt apaa dirasa pngn cepet2 ya sepanjang trus grab/gojek kalau sante ya wonokromo trus ke tij naik wira wiri,grab,pernyataan
oke jujur aku gatau ini gimana tapi aku mau renew langganan disney aku pakai gopay tapi pas masukin no nya jadi begini lah gimana mau renew kocakk dri kemaren pusing bgt gara-gara gabisa renew doang ada yang tau solusinya? https://t.co/x6kNGgNj16,gopay,komplain
@PartaiSocmed Infonya Danantara malah mau investasi di perusahaan aplikator Goto &amp; Grab. Bukannya bikin perusahaan sejenis ini malah ikut2an swasta memeras keringat rakyat. Begini kalau petingginya menganut Kapitalisme bukan Ekonomi kerakyatan.,grab,saran-kritik
@hourlysumpit emang kalo naik grab disana ga dikasih helm? ,grab,komplain
@OposisiCerdas Cepat kasih jaket gojek,gojek,pernyataan
GrabFood Diskon 55% s/d 25k 09:00 11:00 14:00 17:00 19:00 *Min. transaksi 40k *maks 3x selama periode 23-25 Jun *Pastikan vouchernya muncul seperti di gambar kalau muncul berarti restonya sudah sesuai Hanya berlaku untuk restoran tertentu https://t.co/pzxiLG2M47 https://t.co/nCYGcU7D7Z,grabfood,pernyataan
BAGUS BANG LANJUTKAN GRABFOOD LOVE TFO #GrabFoodลดแรงxTFO #TleFirstone #เติ้ลเฟิร์สวัน,grabfood,pujian
@bvlgrlix yuk kak Depok nih bisa dianter atau gosend grabsend paxel https://t.co/ZiilfsrWjp,gosend,pernyataan
@gitaskndr Sebagai mantan warga bandung (eh cimahi) tiap mudik ujung2nya kruntelan d rumah Mau pergi hoream macet mau gofood bingung mau beli apa,gofood,pernyataan
gofood gacoan jam segini yay or nay,gofood,pertanyaan
@im_wonyu @um_fess Ada stand penandanya kah kak buat tempat nunggu gojek/grab?,grab,pertanyaan
Yang kepo mesennya dimana ni aku kasih tau easy to eat and order!!! https://t.co/qKY1WSN9FZ,grabfood,pujian
Ohh udah baikan wkwkwk tapi balikannya gatau GRABFOOD LOVE TFO #GrabFoodลดแรงxTFO https://t.co/UfRTn5cBvj,grabfood,pernyataan
@MoerliArt Bnuys ovo,ovo,pernyataan
Keluarga ku hbs ketipu krn tdi beli barang di apk online trs pengiriman nya di lwtkn gosend/gojek. Setelah kita ketipu dilihat2 kayanya itu mrka sekelompok penipu yg dri awalnya penjual barang bekas trnyata sampai nyamar jd kurir gosend/gojek. Mana bahasanya ky bener2 kurir lg..,gosend,komplain
Wow sekarang top up ovo adminnya 2k ,ovo,komplain
diberkatilah semua driver ojek makanan gofood grabfood shopeefood aaaminn,grabfood,pujian
selamat siang dari aku yang habis jajan robux promo gopay,gopay,pernyataan
males keluar beli makan dan kalo gofood males jg keluar kamar kosan. sksk w aja emg,gofood,komplain
@syocake HAHAHA IYA. Soalnya lumayan banget buat jajan alfagift 50-100rb atau buat grab yang jauh jauh....... ,grab,pujian
ordernya disini ya guyss https://t.co/GZHiGIn8wc,grab,pernyataan
@yusufgunawan Hampir mirip kalean bungur.Kadang suka heran ya mas Suf saya masih ingat di Surabaya Angguna kurang hits gmn coba adanya gocar grabcar dll seketika armada tersebut sedikit demi sedikit mulai hilang..intine Kabeh wes Ono jamane cuma menungsane gelem gak diajak maju dan tertib.,grabcar,pernyataan
@milkeux gofood aja,gofood,pernyataan
kenapa tiap malam mau makan aja mikirnya berjam jam sambil bolak balik gojek,gojek,komplain
dapet grabbike viar gw kyk mau terbang SUNYI BGT,grab,pujian
Ketagihan makan Moon Chicken mana porsinya kenyang banget lagi . Bener-bener orang harus pada nyobain moon chicken ‼️ Ini juga udah ada di grabfood loh https://t.co/zPRBi1Wwg9,grabfood,pujian
PRE ORDER STILL OPEN GUYS. GRAB YOUR TTYOMI NOW!!! Harga IDR 85 000 (Belum termaksud Ongkir) https://t.co/MHtVGIcojO,grab,pernyataan
gofood apa ya (buat nemenin nugas),gofood,pertanyaan
aku korbannya juga:D ini nomor ovo sama namanya ya cepet tobat deh kakaknya uang hasil nipu gabakal pernah berkah kak https://t.co/VnNbaEO35q,ovo,komplain
Beras cuma 54rb pake Voc bawah produk + koin + Payment gopay Maknyuss https://t.co/XU65mTVlNu Anak Raja https://t.co/nIzJo8UrFL Sania https://t.co/FCnQnmYavZ Topi Koki https://t.co/C1qQzbezXh Ayana https://t.co/6rdsEDctUG Raja Ultima https://t.co/Zsvx9UDvLZ Raja Platinum https://t.co/tdr4lP5Wvj,gopay,pernyataan
@nyangitu Baru lahir 7k aja byy avail dana gopay plisss adop dia pet aku penuh https://t.co/GhLs7M29LN,gopay,pernyataan
@str4wbilily_ iya bner lagi laper nya anjir mahal bgt gak shopefod grabfood gofood mahal semua,gofood,komplain
Ada yg rs layout aventurine? Yg bisa bayar pakai gopay if possible,gopay,pertanyaan
gopay delay mulu ya orang pada kepepet buru-buru tapi malah lemot. Uang di bank kepotong status transaksi selesai tapi saldo gopay belom nambah Info Ewallet tanpa delay kayak si @gopayindonesia dong?,gopay,komplain
enaknya gofood apa yaa?,gofood,pertanyaan
Sumpah gw ga ikhlas buat lu pada yg ngerayain pawai obor gw udah pesen gofood dari 1 jam yang lalu abangnya kejebak macet cuma gara2 nungguin kegabutan lo pada bawa2 obor. Gila kasian abang gofoodnya rugi waktu seharusnya dia bisa dapet orderan lg malah kehambat. Zolim,gofood,komplain
Diskon segede ini bukan tiap hari. Token PLN 20rb jadi 10rb Cuma di aplikasi GoPay cepetan sebelum habis ‍️‍️ https://t.co/6jFP7NX9Z7,gopay,pernyataan
@dearwonwo0 GAK LAH MANA MUNGKIN tapi beneran ngasil duit di map nya aja gak yg tbtb ke transfer ke dana bank spay ovo gopay dan qris mu ituh ,gopay,pernyataan
gais wtt seabank atau spay ke gopay dongg,gopay,pernyataan
Ini gojek muncul biaya tanggungan tp pas di cek di app store gaada subscribe apa2 gue -.-,gojek,pernyataan
@elmaestro7110 Belum pernah di rampok grabfood ya? Selama jualan gapernah penghasilan bersih gua lebih bnayak dr yg grab ambil https://t.co/BbwOmkjsAc,grabfood,pujian
seketika ak mau jd tukang gojek,gojek,pernyataan
3/ Tapi ternyata dia tuh bukan abang Gojek beneran. Dia Ojek Pengkolan yang cuma modal jaket ojek biar keliatan resmi. Anjir otak gue kenapa hari ini tolol banget gak nyadar sama sekali.,gojek,komplain
GoPay praktis banget bayar apa-apa tinggal scan. Gak perlu pusing sama kembalian.,gopay,pujian
@gaonbakso eh iya jir gofood emg jdi mahal ongkirnya tdi aku pesen makan aja ongkirnya 22k,gofood,pernyataan
bapak goride mau ga ya kalo aku bawa container box 55L,gojek,pernyataan
kalo ekbang aku publish aku akan mengadakan GA saldo gopay/dana/spay pls doakan gais ,gopay,pernyataan
@sunflowersaraa Isy. Naik grab premium lah youu,grab,pernyataan
@sbyfess Transport e malang rodok bingungi kecuali km ws hafal rute angkutan umume aman. Atau gk gitu budget banyak jd gojek kemana aman.,gojek,pujian
Guys jadi kan aku nonton PJF day 1 buat hindarin macet dan karena baliknya bareng temen ke prambanan bisa naik krl kan ya? Turun stasiun brambanan? Nah habis itu ke prambanan dari stasiun brambanan berapa menit? Terus apakah harus pesen gocar dari brambanan ke prambanan?,gocar,pernyataan
@deepdownseas Udah kucoba aku ga dapet promo sebanyak kamu udah gofood plus juga padahal,gofood,komplain
@barudakalter bawa martabak? pecenongan enak bgt loh abis itu bisa gojek kalo mau yang asin asin,gojek,pujian
Sedih banget lucky charm krincingz gue yang pond ilang gara gara tempat gantunginnya sempet rusak pas gue balik kerja pake gojek karena kantongnya keberatan. Sempet denger ada yang jatuh ternyata pond https://t.co/nVKJoL64kn,gojek,pernyataan
@ovo_id Top up ovo via gopay dari tgl 21 GK masuk juga min??? @ovo_id,ovo,komplain
gajelas bgtt gua mau gofood nawarin orang rumah biar sekalian tp punya gua sendiri ga dipesenin..........,gofood,komplain
ini nomor ovo dia sempet aku ss sebelum dihapus sama dia https://t.co/FBsF8KcYYK,ovo,pernyataan
Apa bgt grab gue dicancel pas drivernya udah di tempat anjg udh nunggu 10 menit,grab,komplain
mending ak beli makan keluar apa gofood yh,gofood,pertanyaan
"buat yg butuh kirim cepet, grabexpress instant emg ga pernah ngecewain.",grabexpress,pujian
@vietnamdripz 1 8 harganyaaa fix aing dapet gopay dari aca ,gopay,pernyataan
kalo bisa resto di grabfood bisa di-wishlist atau di-save. jd gampang nyarinya lagi.,grabfood,saran-kritik
@anotherchihiro @yubifess itu harga nya sama kaya gojek apa lebih mahal kak?,gojek,pertanyaan
@viannaaw boleh ka via gopay bisa??,gopay,pertanyaan
BISA GILA GRABFOOD LOVE TFO #GrabFoodลดแรงxTFO #TleFirstone #เติ้ลเฟิร์สวัน,grabfood,pujian
nasgor gila yg masih buka dimana yak.. di gofood kok pada gaada,gofood,pertanyaan
@journaIog Hai Kak aku dari Akun Grab Official. Mohon maaf jadi bikin Kakak ga nyaman yaa Perihal ini boleh infokan detailnya melalui DM yah Kak dgn ketik Agent di DM agar tersambung dgn agent kami dan bisa segera ditindaklanjuti yaa. Terima kasih -Mamat,grab,pernyataan
@ashasecretlife kalau spay doang enggaa itu dia kek gopay ovo gituu tp spay later iyaa ngutang jatohnyaa,ovo,pernyataan
@itslayzhull Gw pernah gocar mana lagi long weekend di jogja arah malioboro macet sejam lebih,gocar,pernyataan
Dia cam geram bila grab driver ni nak ambik jalan jauh nak elak tol hello cik dah pukul berapa niiiii https://t.co/pqtl3Db9e9,grab,komplain
yaampun naik grab 2 kali gws dehhhh,grab,komplain
konyol bgt baru bangun panik ada yg call dari gofood padahal ga pesen kirain ada yg iseng GATAUNYA SI MAMIH YANG PESEN,gofood,pernyataan
lagi gojek salah anter trs dibiarin gitu aja https://t.co/XzORAieqMz,gojek,komplain
"ac mobil grabcar nya dingin bgt, nyaman.",grabcar,pujian
@aiurskiest TERNYATA HARUS LEVEL 7 BARU BISAA AKU NAIKIN LEVEL DULU ,grab,pernyataan
Kenapa tarif Gojek sekarang mahal banget ya? Jarak deket aja argo nya gak masuk akal.,gojek,komplain
klo salah tf gojek gmn yh cs jg ini bot kan lu,gojek,komplain
"saran adain fitur ""kirim ulang pesanan yg sama"" di gofood biar ga ribet lagi nyari resto n milih menu fav yg sama berulang2.",gofood,saran-kritik
Nunggu gofood,gofood,pernyataan
@ho_sseulgi I personally prefer ask mas masnya pakai Mas bisa scan? Atau Mas bisa scan qr gak? Atau Mas mau scan qr dari gopay/any other e-wallet. ,gopay,pertanyaan
"driver grab nya tiba2 minta ganti pembayaran ke cash, padahal gw udh set pake ovo.",grab,komplain
alasan aku gofood abgku karna dimataku dia kk orng kurang gizi https://t.co/cZnFbz9PBU,gofood,pujian
kau dah janji nak grab from kl sentral buat ah from kl sentral kau buat from klia memang mahal ah babi,grab,komplain
@sfsgyu kalau pake e-wallet gopay ada tambahan biaya ngga yaa?,gopay,pertanyaan
woi @gojekindonesia knp driver gocar lo nelpon pake nomer pribadi sih? kan udah ada fitur chat/telp di app. risih bgt,gocar,komplain
Tolong dong gosend jangan sering cancel orderan sepihak.,gosend,saran-kritik
@yubifess gocar tp bapanya kdg gamau kalo barangnya banyak jd dia minta harga lbh dari apk,gocar,komplain
@notgutawa aku sih setiap hari ya pake aplikasi gojek,gojek,pernyataan
ADA GOJEK NYASAR REEEEKKK https://t.co/6s14TOES46,gojek,pernyataan
@wieter kaya abang gojek,gojek,pernyataan
@raspbrrye Hahaha iya ini udah di gojek,gojek,pernyataan
dari gojek jadi gocar,gocar,pernyataan
adalah gue kalo lg di gojek. maaf bang,gojek,komplain
saranin gw harus gofood apa,gofood,pertanyaan
gak diridhoi topap rosblox sumpah gopay gw ERROR,gopay,komplain
Jasa hackback itu benar gak ya ada yg bisa ambilin akun ovo aku yg di ambil org balik gk ya,ovo,pertanyaan
Fitur tambah tujuan (add destination) di GoRide kadang bikin argo jadi mahal banget. Mungkin perhitungannya bisa ditinjau ulang.,goride,saran-kritik
@findingras spay okeey beb lebih murah dibanding ovo,ovo,komplain
@springcharisma kalo naik grab turun mana ka,grab,pertanyaan
paket gw rusak parah dibanting sm driver grabexpress.,grabexpress,komplain
@kenseikko Salah by aku di penjara makanya harus lewat sipir dulu kalo gofood,gofood,pernyataan
@ggukjminnie Nah itu gue bingung td. Kok bs? Apa disuruh masuk mobil? Apa mobil nya itu kaya grab disini mana gede bgt ,grab,pertanyaan
tracking grabexpress pls dibikin beneran live. masa updatenya per 15 mnt.,grabexpress,saran-kritik
dimintai kejelasan gojek perkara gopud yaallah ngakak bgt tp takut jg dimarahin,gofood,komplain
laperr gofood in dongg,gofood,pernyataan
Di saat matlis gini batre hp tinggal 25% dan ngide pesen grabfood terus bayarnya pake qris lagi. Kalo ntar hp gue mati abis batre dahlah. ,grabfood,pernyataan
Belum lagi kalo di kantor gojak gojek melulu.. kadang terlalu guenya kebawa aruss wussss,gojek,pernyataan
@tanyarlfes Gopay pet enak suka dapet koin malah,gopay,pujian
Info dong guys kalian sudah pernah pakai gopay merchant? Daftarnya emang agak lama ya? @gopayindonesia @gojekindonesia #gopay #gopaymerchant #gojek https://t.co/PmTp0cZIdl,gopay,komplain
Tadi siang besok aku akan bangun pagi yoga jogging lalu masak buat sarapan pagi Pas udah malem begadang ah mumpung besok libur bangun siang mager mageran gofood mie pedes dimsum es teller Curiga aku punya 200 kepribadian.,gofood,pernyataan
voucher grab yg diskon 90% itu beneran ada?,grab,pertanyaan
Demi Allah untung gua udah bikin ovo kalo nggak gua akan membusuk di stasiun sampe loketnya buka,ovo,pernyataan
@delolely @oishiiaeri benefit nya km pake qris gopay apa kakk,gopay,pertanyaan
@miyaaans_ bisaaa klaim sih kak tapi gaada voucher goride satupun :(,gojek,komplain
Laper coy gofood isinya nasgor ama penyetan. Bosen,gofood,komplain
@lunnn_aaalk wowww padahal ada yang namanyaa goride gojek dan go go lainnyaaa mba,gojek,pernyataan
@varshasls sejak di tempat jajanannya karna sebelumnya aku masih pake buat bayar grab car trus aku masukin ke mini bag akuu,grabcar,pernyataan
@lieurbray Kan ada gojek???????,gojek,pernyataan
Driver Gojeknya cancel tiba-tiba pas udah ditunggu 10 menit alasannya gak jelas. Bikin telat kerja.,goride,komplain
terimakasihhh abang gojek kuhhh,gojek,pernyataan
@k_yj03 PLSSS IYAAA WHYYY? km beli pake diskon gofood ga?,gofood,pertanyaan
@DPlusID_Help min payment via gopay error ya? Gitu terus daritadi Mau di DM gabisa https://t.co/yJVyBI9noS,gopay,komplain
driver grabcar nya ga ramah samsek.,grabcar,komplain
mmg makin naik lemak pun motor2 ni. kat kl tu mmg asalkan ada ruang dia buat mcm jalan bapak dia. nak2 rider lala foodpanda grab. semua mcm buto siap hon orang tgh jalan lagi ,grab,pernyataan
@raoseo @kiazudio Mjb.. Mau nanya dong.. misal aku bikin akun gopay merch atas nama aku tapi akun bank pencairannya atas nama ibu aku bisa ga sih??,gopay,pertanyaan
ANGKA GRAB POOLS TANGGAL = 24 JUNI 2025 PERIODE = 1191 - GP RESULT = 2532 SELAMAT KEPADA PEMENANG IKUTIN LOMBA TEBAK 2D 3 LINE &amp; 3D 4 LINE,grab,pernyataan
baru turun gojek langsung ketemu bos gue di depan lobby ARGHHH,gojek,pernyataan
@pisangkejupalem @yappingfess itu gojek kak keknya ui nya,gojek,pernyataan
Aku beli nasi goreng kampung kat grab tadi style yang macam nenek2 masak tu dap iler,grabfood,pujian
kimchi~~ ready jkt bisa gosend only until 4 JULI,gosend,pernyataan
@ihhfall Nungguan grab teu nyangkut2 uy ka Iran.,grab,pernyataan
Asa karak mesen grab food dianterkeunna make grab car nyih,grabfood,pernyataan
Tolong dong gosend perbaiki sistem petanya sering banget salah titik jemput/antar.,gosend,saran-kritik
tolong dong @grabid masa gw dapet driver grabcar yg plat mobilnya beda sama di aplikasi. kan jadi waswas,grabcar,komplain
@lemmebeurs__ LAGIAN BAPAM GRAB NYA IH GITU,grab,komplain
tokped jg ngerampok pembeli yg bayar pake gopay later. prnh iseng cek baju harga 300an bayar pake paylater udh adminnya banyak cicilannya jg ga ngotak bgt bunganya. nih sistem emg ngerugiin 2 pihak makanya gapernah mau belanja pake paylaternya gojek.,gopay,komplain
drivernya minta ongkos parkir emg beneran ga ditanggung ya?,grabexpress,pertanyaan
Gua kok klo naik gojek gapernah ditawarin helm yak emg pala gua batu apa,gojek,komplain
uangku abis buat gojek,gojek,komplain
@xkode06 Kirain gojek plus itu sama dengan plus yg di toped ,gojek,pernyataan
gue dr td scroll instagram ngeliat peemthai tiba2 jeder gemfot peemthai satu event di grab https://t.co/K8BlzE9JOC,grab,pernyataan
Gausah pake lama buruan ke sini https://t.co/Fmz57dvWZq Gofood Grabfood Shopeefood (Let Me Chong Lee) Pd. Kopi Duren Sawit Jakarta Timur #letmechonglee #friedchickensteak #asianflavour #kulinerjakarta,grabfood,pernyataan
@discountfess itu grab ya??? spillll dong nder,grab,pertanyaan
@snowynight_SN Grab nya yg post apa gimana dahh di x ada kahh,grab,pertanyaan
Ada yang tau gak kenapa voucher GoFood saya gak bisa dipakai di restoran tertentu? Padahal syaratnya udah sesuai.,gofood,pertanyaan
Hari ini pergi pergi ke kampus naik gojek trus abang abangnya dapet yg kalo ngerem bikin gue terjungkal ,gojek,komplain
@TuanTakur_25 Kalau gofood minta anter ke atas nambah berapa?,gofood,pertanyaan
ini dosen² pada tau kan ya ga semua student nya punya kendaraan kenapa masi aja bikin kelas malem malem DI BUKIT ANJIR ok lah kalau di bawah yang easy to access ini di bukit yang susah dapet grab YAALLAH,grab,komplain
@tosshiebuns @tanyarlfes kakk cara redeem ke gopay nya gmn yaaa??,gopay,pertanyaan
GRAB SI BINCIL (BINTANG KECIL) MANYISSS BESS ∧＿∧ (｡･ω･｡)つ━・*。 ⊂/ / 。* しーＪ ＊ ,grab,pernyataan
Gofood udah jarang bgt ngasih voucher diskon. Jdi berasa mahal bgt ongkirnya kadang ,gofood,komplain
@anothabey bisa pesen lewat gojek,gojek,pernyataan
